"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"m",21,4,41,"C",3098,50,0,50,2000,3,1057,1,3
"m",21,4,42,"D",1637,50,0,50,2050,4,1959,1,3
"m",21,4,43,"B",1225,100,-1250,-1150,900,2,1218,0,3
"m",21,4,44,"A",2751,100,0,100,1000,4,1859,0,3
"m",21,4,45,"A",2377,100,-200,-100,900,3,6314,0,3
"m",21,4,46,"D",1058,50,0,50,950,4,1086,1,3
"m",21,4,47,"D",996,50,0,50,1000,4,928,1,3
"m",21,4,48,"D",1021,50,0,50,1050,4,1038,1,3
"m",21,4,49,"D",1781,50,0,50,1100,4,963,1,3
"m",21,4,50,"D",1019,50,0,50,1150,4,1188,1,3
"m",21,4,51,"D",1183,50,0,50,1200,4,1068,1,3
"m",21,4,52,"C",919,50,-50,0,1200,3,1308,1,3
"m",21,4,53,"D",1008,50,0,50,1250,4,982,1,3
"m",21,4,54,"D",930,50,0,50,1300,4,769,1,3
"m",21,4,55,"B",1510,100,0,100,1400,4,1320,0,3
"m",21,4,56,"D",1238,50,-250,-200,1200,4,1139,1,3
"m",21,4,57,"D",1140,50,0,50,1250,4,2108,1,3
"m",21,4,58,"D",1748,50,0,50,1300,3,981,1,3
"m",21,4,59,"C",970,50,0,50,1350,3,4491,1,3
"m",21,4,60,"C",1079,50,-50,0,1350,4,983,1,3
"m",21,4,61,"A",1254,100,0,100,1450,3,1777,0,4
"m",21,4,62,"D",1557,50,0,50,1500,4,967,1,4
"m",21,4,63,"D",972,50,0,50,1550,4,1207,1,4
"m",21,4,64,"D",1028,50,0,50,1600,4,1637,1,4
"m",21,4,65,"C",1275,50,-50,0,1600,3,1040,1,4
"m",21,4,66,"C",1055,50,0,50,1650,4,1523,1,4
"m",21,4,67,"A",1589,100,-250,-150,1500,3,1841,0,4
"m",21,4,68,"D",1710,50,0,50,1550,4,1084,1,4
"m",21,4,69,"D",1428,50,0,50,1600,4,813,1,4
"m",21,4,70,"D",820,50,0,50,1650,4,1222,1,4
"m",21,4,71,"D",1020,50,-250,-200,1450,4,1355,1,4
"m",21,4,72,"C",931,50,-25,25,1475,3,845,1,4
"m",21,4,73,"C",1474,50,-75,-25,1450,4,936,1,4
"m",21,4,74,"D",1882,50,0,50,1500,4,964,1,4
"m",21,4,75,"D",1045,50,0,50,1550,4,997,1,4
"m",21,4,76,"D",1445,50,0,50,1600,4,1124,1,4
"m",21,4,77,"D",2228,50,0,50,1650,4,1103,1,4
"m",21,4,78,"A",1251,100,-350,-250,1400,3,1866,0,4
"m",21,4,79,"A",1491,100,0,100,1500,2,3747,0,4
"m",21,4,80,"C",4870,50,0,50,1550,3,952,1,4
"m",21,4,81,"B",2678,100,0,100,1650,2,1139,0,5
"m",21,4,82,"D",3632,50,0,50,1700,3,1103,1,5
"m",21,4,83,"D",2177,50,-250,-200,1500,3,1705,1,5
"m",21,4,84,"C",1054,50,0,50,1550,4,1490,1,5
"m",21,4,85,"C",2414,50,0,50,1600,3,1170,1,5
"m",21,4,86,"C",989,50,-25,25,1625,3,1024,1,5
"m",21,4,87,"C",939,50,-75,-25,1600,3,970,1,5
"m",21,4,88,"A",1898,100,-350,-250,1350,1,1666,0,5
"m",21,4,89,"A",1156,100,0,100,1450,4,1407,0,5
"m",21,4,90,"C",1140,50,0,50,1500,3,1024,1,5
"m",21,4,91,"C",863,50,-50,0,1500,3,776,1,5
"m",21,4,92,"C",850,50,0,50,1550,3,1114,1,5
"m",21,4,93,"C",1014,50,0,50,1600,4,948,1,5
"m",21,4,94,"C",1047,50,0,50,1650,4,830,1,5
"m",21,4,95,"C",973,50,-50,0,1650,4,953,1,5
"m",21,4,96,"A",1138,100,-250,-150,1500,3,2350,0,5
"m",21,4,97,"A",1549,100,-200,-100,1400,3,1436,0,5
"m",21,4,98,"C",1005,50,-25,25,1425,3,1292,1,5
"m",21,4,99,"C",830,50,-50,0,1425,3,977,1,5
"m",21,4,100,"C",864,50,0,50,1475,3,850,1,5
"m",28,5,1,"C",2992,50,0,50,2050,2,2887,1,1
"m",28,5,2,"A",7632,100,0,100,2150,3,3640,0,1
"m",28,5,3,"B",3360,100,0,100,2250,2,1880,0,1
"m",28,5,4,"A",4288,100,0,100,2350,4,3264,0,1
"m",28,5,5,"D",8551,50,0,50,2400,4,5000,1,1
"m",28,5,6,"B",2496,100,0,100,2500,4,3360,0,1
"m",28,5,7,"C",6720,50,0,50,2550,1,2096,1,1
"m",28,5,8,"D",10840,50,0,50,2600,4,1480,1,1
"m",28,5,9,"B",4088,100,0,100,2700,4,1280,0,1
"m",28,5,10,"C",6760,50,-50,0,2700,1,1640,1,1
"m",28,5,11,"B",7861,100,0,100,2800,3,1912,0,1
"m",28,5,12,"A",3424,100,-150,-50,2750,4,2432,0,1
"m",28,5,13,"A",5720,100,0,100,2850,1,2648,0,1
"m",28,5,14,"A",2048,100,-300,-200,2650,1,1504,0,1
"m",28,5,15,"A",6024,100,0,100,2750,4,1496,0,1
"m",28,5,16,"D",1752,50,0,50,2800,3,1288,1,1
